1.txt repeat0 931 True False 0,1 [empty] True
1.txt repeat1 1132 True False 0,1 [empty] True
1.txt repeat2 1036 True False 0,1 [empty] True
1.txt repeat3 931 True False 0,1 [empty] True
1.txt repeat4 1036 True False 0,1 [empty] True
10.txt repeat0 1008 True False 0,1|1,3 [empty] True
10.txt repeat1 1008 False False 0,1|1,3 [empty] True
10.txt repeat2 1008 True False 0,1|1,3 [empty] True
10.txt repeat3 1008 False False 0,1|1,3 [empty] True
10.txt repeat4 1008 True False 0,1|1,3 [empty] True
11.txt repeat0 682 True False 0,1|2,3 [empty] True
11.txt repeat1 593 True False 0,1|2,3 [empty] True
11.txt repeat2 593 True False 0,1|2,3 [empty] True
11.txt repeat3 593 True False 0,1|2,3 [empty] True
11.txt repeat4 593 True False 0,1|2,3 [empty] True
12.txt repeat0 1106 False False 0,2|0,3 [empty] True
12.txt repeat1 1106 False False 0,2|0,3 [empty] True
12.txt repeat2 1106 False False 0,2|0,3 [empty] True
12.txt repeat3 1082 True False 0,2|0,3 [empty] True
12.txt repeat4 1106 False False 0,2|0,3 [empty] True
13.txt repeat0 1108 True False 0,2|1,2 [empty] True
13.txt repeat1 1108 True False 0,2|1,2 [empty] True
13.txt repeat2 1108 True False 0,2|1,2 [empty] True
13.txt repeat3 907 True False 0,2|1,2 [empty] True
13.txt repeat4 1108 True False 0,2|1,2 [empty] True
14.txt repeat0 1216 True False 0,2|1,3 [empty] True
14.txt repeat1 1216 True False 0,2|1,3 [empty] True
14.txt repeat2 1216 True False 0,2|1,3 [empty] True
14.txt repeat3 1216 True False 0,2|1,3 [empty] True
14.txt repeat4 1047 True False 0,2|1,3 [empty] True
15.txt repeat0 1311 True False 0,2|2,3 [empty] True
15.txt repeat1 815 True False 0,2|2,3 [empty] True
15.txt repeat2 1311 True False 0,2|2,3 [empty] True
15.txt repeat3 815 True False 0,2|2,3 [empty] True
15.txt repeat4 815 True False 0,2|2,3 [empty] True
16.txt repeat0 1271 False False 0,3|1,2 [empty] True
16.txt repeat1 736 True False 0,3|1,2 [empty] True
16.txt repeat2 1271 False False 0,3|1,2 [empty] True
16.txt repeat3 1040 True False 0,3|1,2 [empty] True
16.txt repeat4 1271 False False 0,3|1,2 [empty] True
17.txt repeat0 1201 True False 0,3|1,3 [empty] True
17.txt repeat1 1201 True False 0,3|1,3 [empty] True
17.txt repeat2 1558 True False 0,3|1,3 [empty] True
17.txt repeat3 1253 False False 0,3|1,3 [empty] True
17.txt repeat4 1253 False False 0,3|1,3 [empty] True
18.txt repeat0 1219 False False 0,3|2,3 [empty] True
18.txt repeat1 1263 True False 0,3|2,3 [empty] True
18.txt repeat2 1219 False False 0,3|2,3 [empty] True
18.txt repeat3 1133 False False 0,3|2,3 [empty] True
18.txt repeat4 1263 True False 0,3|2,3 [empty] True
19.txt repeat0 1123 True False 1,2|1,3 [empty] True
19.txt repeat1 1339 True False 1,2|1,3 [empty] True
19.txt repeat2 1339 True False 1,2|1,3 [empty] True
19.txt repeat3 1123 True False 1,2|1,3 [empty] True
19.txt repeat4 1339 True False 1,2|1,3 [empty] True
