1.txt friends True 1|2|0|1|2|0|3|3 correct
10.txt friends True impossible incorrect
100.txt friends True 2|0|1|2|1|0|3|3 correct
101.txt friends True 0|1|2|1|2|0|3|3 correct
102.txt friends True 0|2|1|0|2|1|3|3 correct
103.txt friends True 1|0|1|0|2|2|3|3 correct
104.txt friends True 0|1|2|0|1|2|3|3 correct
105.txt friends True impossible incorrect
106.txt friends True 0|1|2|2|3|1|0|0 correct
107.txt friends True impossible incorrect
108.txt friends True 0|1|2|1|0|2|3|3 correct
109.txt friends True 0|2|1|0|1|2|3|3 correct
11.txt friends True impossible incorrect
110.txt friends True impossible incorrect
111.txt friends True impossible incorrect
112.txt friends True impossible incorrect
113.txt friends True 1|2|0|2|1|3|3|3 correct
114.txt friends True impossible incorrect
115.txt friends True impossible incorrect
116.txt friends True 2|1|1|3|3|2|0|0 correct
117.txt friends True 0|0|1|1|2|3|2|2 correct
118.txt friends True 3|1|3|3|1|0|2|2 correct
119.txt friends True impossible incorrect
12.txt friends True 0|0|1|2|1|2|3|3 correct
120.txt friends True 0|1|0|2|2|3|3|3 correct
121.txt friends True impossible incorrect
122.txt friends True 0|1|2|2|1|0|3|3 correct
123.txt friends True 1|2|1|3|3|2|0|0 correct
124.txt friends True impossible incorrect
125.txt friends True 0|2|1|0|2|1|3|3 correct
126.txt friends True impossible incorrect
127.txt friends True impossible incorrect
128.txt friends True 0|0|1|1|2|2|3|3 correct
129.txt friends True 0|1|2|3|0|2|3|3 correct
13.txt friends True 1|3|3|0|3|1|2|2 correct
130.txt friends True impossible incorrect
131.txt friends True impossible incorrect
132.txt friends True impossible incorrect
133.txt friends True impossible incorrect
134.txt friends True 1|3|2|2|1|3|0|0 correct
135.txt friends True impossible incorrect
136.txt friends True 0|1|2|3|3|2|1|1 correct
137.txt friends True 1|2|2|1|3|3|0|0 correct
138.txt friends True impossible incorrect
139.txt friends True impossible incorrect
14.txt friends True impossible incorrect
140.txt friends True 0|0|1|1|2|2|3|3 correct
141.txt friends True 0|1|3|3|0|1|2|2 correct
142.txt friends True 1|2|0|1|2|2|3|3 correct
143.txt friends True 3|0|0|2|2|3|1|1 correct
144.txt friends True impossible incorrect
145.txt friends True impossible incorrect
146.txt friends True 0|1|1|2|2|0|3|3 correct
147.txt friends True impossible incorrect
148.txt friends True impossible incorrect
149.txt friends True impossible incorrect
15.txt friends True impossible incorrect
150.txt friends True 2|1|0|1|2|0|3|3 correct
151.txt friends True impossible incorrect
152.txt friends True impossible incorrect
153.txt friends True impossible incorrect
154.txt friends True 1|2|2|1|2|0|3|3 correct
155.txt friends True 0|1|2|3|0|2|3|3 correct
156.txt friends True 1|0|2|1|2|0|3|3 correct
157.txt friends True 0|1|2|1|2|0|3|3 correct
158.txt friends True 2|1|0|1|2|0|3|3 correct
159.txt friends True 0|1|2|1|2|0|3|3 correct
16.txt friends True 3|0|2|3|0|2|1|1 correct
160.txt friends True 1|2|0|0|2|1|3|3 correct
161.txt friends True impossible incorrect
162.txt friends True 0|1|2|3|2|0|1|1 correct
163.txt friends True impossible incorrect
164.txt friends True 2|0|2|2|1|3|3|3 correct
165.txt friends True 3|1|0|0|3|1|2|2 correct
166.txt friends True 0|1|2|1|0|2|3|3 correct
167.txt friends True impossible incorrect
168.txt friends True impossible incorrect
169.txt friends True 0|0|1|2|1|2|3|3 correct
17.txt friends True 0|2|0|2|3|3|1|1 correct
170.txt friends True 3|3|3|1|1|0|2|2 correct
171.txt friends True 2|0|0|1|1|2|3|3 correct
172.txt friends True impossible incorrect
173.txt friends True impossible incorrect
174.txt friends True impossible incorrect
175.txt friends True impossible incorrect
176.txt friends True 3|1|0|1|3|0|2|2 correct
177.txt friends True 0|2|1|1|1|2|3|3 correct
178.txt friends True 2|0|1|1|0|2|3|3 correct
179.txt friends True 1|1|2|0|2|0|3|3 correct
18.txt friends True 0|1|2|2|0|1|3|3 correct
180.txt friends True impossible incorrect
181.txt friends True impossible incorrect
182.txt friends True impossible incorrect
183.txt friends True 0|1|1|2|2|0|3|3 correct
184.txt friends True impossible incorrect
185.txt friends True 0|0|2|1|1|2|3|3 correct
186.txt friends True impossible incorrect
187.txt friends True impossible incorrect
188.txt friends True 0|0|1|2|3|1|3|3 correct
189.txt friends True impossible incorrect
19.txt friends True impossible incorrect
190.txt friends True 1|2|3|2|1|3|0|0 correct
191.txt friends True impossible incorrect
192.txt friends True impossible incorrect
193.txt friends True impossible incorrect
194.txt friends True impossible incorrect
195.txt friends True impossible incorrect
196.txt friends True 0|2|1|0|2|1|3|3 correct
197.txt friends True impossible incorrect
198.txt friends True impossible incorrect
199.txt friends True impossible incorrect
2.txt friends True impossible incorrect
20.txt friends True 1|2|3|0|1|2|3|3 correct
200.txt friends True 1|2|1|2|3|3|0|0 correct
201.txt friends True 1|0|2|1|0|2|3|3 correct
202.txt friends True 2|0|0|1|1|2|3|3 correct
203.txt friends True 0|1|1|2|0|2|3|3 correct
204.txt friends True impossible incorrect
205.txt friends True impossible incorrect
206.txt friends True 0|1|0|2|2|1|3|3 correct
207.txt friends True impossible incorrect
208.txt friends True impossible incorrect
209.txt friends True 1|2|3|2|1|3|0|0 correct
21.txt friends True impossible incorrect
210.txt friends True 3|0|2|0|2|3|1|1 correct
211.txt friends True impossible incorrect
212.txt friends True 1|2|2|1|0|2|3|3 correct
213.txt friends True impossible incorrect
214.txt friends True impossible incorrect
215.txt friends True 0|1|1|2|0|3|2|2 correct
216.txt friends True impossible incorrect
217.txt friends True impossible incorrect
218.txt friends True impossible incorrect
219.txt friends True impossible incorrect
22.txt friends True 1|1|2|0|0|2|3|3 correct
220.txt friends True 0|1|2|1|2|0|3|3 correct
221.txt friends True 1|1|2|0|2|3|3|3 correct
222.txt friends True impossible incorrect
223.txt friends True impossible incorrect
224.txt friends True 0|1|2|2|2|0|3|3 correct
225.txt friends True impossible incorrect
226.txt friends True 0|0|1|2|2|1|3|3 correct
227.txt friends True impossible incorrect
228.txt friends True 0|1|1|2|0|3|3|3 correct
229.txt friends True 0|1|1|2|2|0|3|3 correct
23.txt friends True 0|1|2|2|1|0|3|3 correct
230.txt friends True impossible incorrect
231.txt friends True 0|1|1|0|2|2|3|3 correct
232.txt friends True 1|0|1|2|2|0|3|3 correct
233.txt friends True impossible incorrect
234.txt friends True 0|2|1|2|1|0|3|3 correct
235.txt friends True impossible incorrect
236.txt friends True impossible incorrect
237.txt friends True 1|1|0|2|2|2|3|3 correct
238.txt friends True impossible incorrect
239.txt friends True impossible incorrect
24.txt friends True impossible incorrect
240.txt friends True impossible incorrect
241.txt friends True impossible incorrect
242.txt friends True impossible incorrect
243.txt friends True impossible incorrect
244.txt friends True impossible incorrect
245.txt friends True 0|1|2|3|1|0|2|2 correct
246.txt friends True impossible incorrect
247.txt friends True impossible incorrect
248.txt friends True impossible incorrect
249.txt friends True impossible incorrect
25.txt friends True impossible incorrect
