1.txt repeat0 456 False False 0,1 [empty] True
1.txt repeat1 385 False False 0,1 [empty] True
1.txt repeat2 299 False False 0,1 [empty] True
1.txt repeat3 290 False False 0,1 [empty] True
1.txt repeat4 409 False False 0,1 [empty] True
10.txt repeat0 523 False False 0,1|1,3 [empty] True
10.txt repeat1 422 False False 0,1|1,3 [empty] True
10.txt repeat2 524 True False 0,1|1,3 [empty] True
10.txt repeat3 368 True False 0,1|1,3 [empty] True
10.txt repeat4 301 True False 0,1|1,3 [empty] True
11.txt repeat0 393 False False 0,1|2,3 [empty] True
11.txt repeat1 356 False False 0,1|2,3 [empty] True
11.txt repeat2 401 False False 0,1|2,3 [empty] True
11.txt repeat3 402 False False 0,1|2,3 [empty] True
11.txt repeat4 455 False False 0,1|2,3 [empty] True
12.txt repeat0 387 True False 0,2|0,3 [empty] True
12.txt repeat1 426 False False 0,2|0,3 [empty] True
12.txt repeat2 421 False False 0,2|0,3 [empty] True
12.txt repeat3 423 True False 0,2|0,3 [empty] True
12.txt repeat4 422 False False 0,2|0,3 [empty] True
13.txt repeat0 363 True False 0,2|1,2 [empty] True
13.txt repeat1 558 False False 0,2|1,2 [empty] True
13.txt repeat2 1154 False False 0,2|1,2 [empty] True
13.txt repeat3 431 False False 0,2|1,2 [empty] True
13.txt repeat4 423 False False 0,2|1,2 [empty] True
14.txt repeat0 425 False False 0,2|1,3 [empty] True
14.txt repeat1 464 False False 0,2|1,3 [empty] True
14.txt repeat2 490 True False 0,2|1,3 [empty] True
14.txt repeat3 402 False False 0,2|1,3 [empty] True
14.txt repeat4 348 False False 0,2|1,3 [empty] True
15.txt repeat0 472 True False 0,2|2,3 [empty] True
15.txt repeat1 501 False False 0,2|2,3 [empty] True
15.txt repeat2 430 False False 0,2|2,3 [empty] True
15.txt repeat3 691 False False 0,2|2,3 [empty] True
15.txt repeat4 697 True False 0,2|2,3 [empty] True
16.txt repeat0 471 False False 0,3|1,2 [empty] True
16.txt repeat1 401 False False 0,3|1,2 [empty] True
16.txt repeat2 595 False False 0,3|1,2 [empty] True
16.txt repeat3 446 True False 0,3|1,2 [empty] True
16.txt repeat4 460 False False 0,3|1,2 [empty] True
17.txt repeat0 562 False False 0,3|1,3 [empty] True
17.txt repeat1 482 False False 0,3|1,3 [empty] True
17.txt repeat2 388 False False 0,3|1,3 [empty] True
17.txt repeat3 404 False False 0,3|1,3 [empty] True
17.txt repeat4 446 False False 0,3|1,3 [empty] True
18.txt repeat0 446 False False 0,3|2,3 [empty] True
18.txt repeat1 440 True False 0,3|2,3 [empty] True
