1.txt friends 1817 True False 0,1|0,2|0,5|0,6|0,7|1,3|1,5|1,7|2,3|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,7 0,3 True
10.txt friends 1638 True False 0,1|0,2|0,4|0,5|0,7|1,3|1,4|1,5|1,6|1,7|2,3|2,5|2,6|3,4|3,5|3,6|3,7|4,6|4,7|5,7 [empty] True
100.txt friends 1863 True False None None None
101.txt friends 849 True False None None None
102.txt friends 1406 True False None None None
103.txt friends 987 True False 0,1|0,3|0,4|0,5|0,6|1,2|1,4|1,5|1,6|1,7|2,3|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,7 [empty] True
104.txt friends 1415 True False None None None
105.txt friends 904 True False 0,2|0,4|0,5|0,6|0,7|1,2|1,4|1,6|1,7|2,3|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
106.txt friends 1558 True False 0,1|0,2|0,3|0,4|0,5|1,2|1,3|1,4|1,6|2,4|2,5|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 1,5 True
107.txt friends 1071 True False None None None
108.txt friends 1412 True False None None None
109.txt friends 1196 True False None None None
11.txt friends 1407 True False 0,1|0,2|0,3|0,5|0,6|0,7|1,2|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,5|4,5|4,6|5,6|5,7 [empty] True
110.txt friends 1546 True False None None None
111.txt friends 767 True False 0,1|0,4|0,5|0,7|1,2|1,3|1,6|1,7|2,3|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
112.txt friends 1685 True False None None None
113.txt friends 1209 True False None None None
114.txt friends 1117 True False None None None
115.txt friends 2186 True False 0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,5|1,6|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|5,6|5,7 [empty] True
116.txt friends 1656 True False None None None
117.txt friends 1383 True False None None None
118.txt friends 1510 True False None None None
119.txt friends 1640 True False None None None
12.txt friends 2897 True False 0,2|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,6|3,7|4,5|4,7|5,6 [empty] True
120.txt friends 1508 True False 0,1|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6 5,6 True
121.txt friends 1856 True False None None None
122.txt friends 1277 True False None None None
123.txt friends 1427 True False None None None
124.txt friends 1629 True False 0,1|0,2|0,4|0,5|0,7|1,3|1,4|1,7|2,3|2,4|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
125.txt friends 1998 True False None None None
126.txt friends 1418 True False None None None
127.txt friends 2077 True False None None None
128.txt friends 1078 True False None None None
129.txt friends 1312 True False None None None
13.txt friends 1334 True False None None None
130.txt friends 1664 True False None None None
131.txt friends 2251 True False 0,2|0,4|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
132.txt friends 2096 True False None None None
133.txt friends 1915 True False None None None
134.txt friends 2508 True False None None None
135.txt friends 1383 True False 0,1|0,2|0,3|0,4|0,5|1,3|1,5|1,6|1,7|2,3|2,4|2,5|2,6|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 [empty] True
136.txt friends 1359 True False None None None
137.txt friends 2711 True False None None None
138.txt friends 1855 True False None None None
139.txt friends 1179 True False None None None
14.txt friends 1359 True False None None None
140.txt friends 1834 True False 0,2|0,3|0,4|0,5|0,6|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,4|2,5|2,6|2,7|3,4|3,5|3,7|5,6|5,7 [empty] True
141.txt friends 1607 True False 0,1|0,2|0,3|0,5|0,6|0,7|1,2|1,6|1,7|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
142.txt friends 1779 True False None None None
143.txt friends 1396 True False None None None
144.txt friends 1635 True False None None None
145.txt friends 1654 True False 0,2|0,3|0,4|0,5|1,2|1,3|1,4|1,6|1,7|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 1,5 True
146.txt friends 1279 True False 0,1|0,2|0,3|0,4|0,6|0,7|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,5|2,7|3,6|3,7|4,5|4,7|5,6|5,7 [empty] True
147.txt friends 858 True False None None None
148.txt friends 1398 True False 0,1|0,3|0,4|0,5|1,2|1,4|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 6,7 True
149.txt friends 1965 True False None None None
15.txt friends 1724 True False 0,2|0,4|0,6|0,7|1,3|1,4|1,5|1,6|1,7|2,4|2,5|2,6|2,7|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
150.txt friends 1343 True False None None None
151.txt friends 1876 True False None None None
152.txt friends 2049 True False None None None
153.txt friends 2778 True False None None None
154.txt friends 954 True False None None None
155.txt friends 1652 True False None None None
156.txt friends 1446 True False None None None
157.txt friends 1017 True False 0,1|0,2|0,3|0,4|0,6|0,7|1,2|1,4|1,5|1,6|2,3|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,7|5,6|5,7 [empty] True
158.txt friends 1537 True False None None None
159.txt friends 1137 True False 0,1|0,3|0,4|0,6|0,7|1,2|1,4|1,5|1,6|2,3|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6|5,7 [empty] True
16.txt friends 1736 True False 0,1|0,4|0,5|0,6|1,2|1,3|1,5|1,6|1,7|2,3|2,4|2,6|3,4|3,5|3,6|3,7|4,5|4,6|5,6|5,7 [empty] True
160.txt friends 920 True False None None None
161.txt friends 1523 True False 0,3|0,4|0,5|0,6|0,7|1,4|1,5|1,7|2,3|2,4|2,5|2,6|2,7|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
162.txt friends 1424 True False None None None
163.txt friends 2440 True False None None None
164.txt friends 2433 True False None None None
165.txt friends 1468 True False None None None
166.txt friends 1151 True False None None None
167.txt friends 1230 True False 0,2|0,3|0,4|0,5|0,7|1,2|1,3|1,4|1,5|1,6|1,7|2,3|2,4|2,7|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
168.txt friends 1607 True False None None None
169.txt friends 1325 True False None None None
17.txt friends 2000 True False 0,4|0,5|0,6|0,7|1,2|1,5|1,6|1,7|2,3|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,6|4,7|5,6 6,7 True
170.txt friends 1909 True False None None None
171.txt friends 1292 True False None None None
172.txt friends 1928 True False None None None
173.txt friends 2121 True False 0,1|0,2|0,3|0,6|0,7|1,2|1,5|1,7|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 6,7 True
174.txt friends 1104 True False None None None
175.txt friends 856 True False None None None
176.txt friends 2677 True False None None None
177.txt friends 1408 True False None None None
178.txt friends 906 True False 0,1|0,2|0,4|0,6|1,2|1,3|1,5|1,6|1,7|2,4|2,5|2,6|2,7|3,4|3,5|3,6|3,7|4,5|4,7|5,6|5,7 [empty] True
179.txt friends 686 True False 0,2|0,3|0,4|0,5|0,7|1,3|1,4|1,5|1,6|1,7|2,3|2,5|2,6|2,7|3,4|3,6|3,7|4,5|4,6|4,7|5,7 2,4 True
18.txt friends 678 True False 0,1|0,2|0,3|0,6|1,2|1,4|1,6|1,7|2,4|2,5|2,6|3,4|3,5|3,6|3,7|4,5|4,6|4,7|5,6|5,7 [empty] True
