deepseek-r1 3g3 roommates roommates 172.txt AFI-BCE-DGH
gpt-oss-120b-high 3g3 roommates roommates 101.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 114.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 119.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 179.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 292.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 350.txt not_found--no_answer
gpt-oss-120b-high 3g3 roommates roommates 368.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 402.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 464.txt not_found--no_answer
gpt-oss-120b-high 3g3 roommates roommates 479.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 489.txt impossible
gpt-oss-120b-high 3g3 roommates roommates 519.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 520.txt not_found--no_answer
gpt-oss-120b-high 3g3 roommates roommates 64.txt impossible
gpt-oss-120b-high 3g3 roommates roommates 641.txt impossible
gpt-oss-120b-high 3g3 roommates roommates 657.txt not_found--no_answer
gpt-oss-120b-high 3g3 roommates roommates 662.txt not_found--refuse
gpt-oss-120b-high 3g3 roommates roommates 671.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 68.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 7.txt impossible
gpt-oss-120b-high 3g3 roommates roommates 763.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 781.txt not_found--max_reached
gpt-oss-120b-high 3g3 roommates roommates 810.txt not_found--no_answer
gpt-oss-120b-high 3g3 roommates roommates 828.txt ABC-DEF-GHI
gpt-oss-120b-high 3g3 roommates roommates 832.txt not_found--max_reached
gpt-oss-120b-high 3g3 roommates roommates 847.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 93.txt not_found--no_answer
gpt-oss-120b-high 3g3 roommates roommates 950.txt impossible
gpt-oss-120b-high 3g3 roommates roommates 972.txt not_found--forgot_question
gpt-oss-120b-high 3g3 roommates roommates 98.txt not_found--max_reached
gpt-oss-120b-high 3g3 roommates roommates 998.txt not_found--forgot_question
gpt-oss-120b-medium 2g3 roommates roommates 20.txt ACF-BDE
gpt-oss-120b-medium 2g3 roommates roommates 808.txt ACD-BEF
gpt-oss-120b-medium 2g3 roommates roommates 89.txt ABF-CDE
gpt-oss-120b-medium 3g3 roommates roommates 582.txt not_found--no_answer
gpt-oss-120b-medium 3g3 roommates roommates 648.txt not_found--no_answer
gpt-oss-120b-medium 3g3 roommates roommates 878.txt AFG-CHI-BDE
gpt-oss-120b-medium 3g3 roommates roommates 960.txt not_found--no_answer
gpt-oss-120b-medium 3g3 roommates roommates 962.txt not_found--no_answer
